project_name,x,y,lat_adj,lon_adj
D'LEEDON,24603.5051745438,33101.28855486865,1.3156306262266488,103.802799356947
THE SIENA,25585.875474737724,33684.01361911462,1.3209006786668276,103.81162640428074
RIVAGE,34167.20111738285,31329.0910255136,1.2996030733435049,103.88873364000901
THE MILTONIA RESIDENCES,29619.64519199197,44297.119093545334,1.416881864338322,103.8478725187887
THE GLADES,40839.10067892773,34376.23953127059,1.327158313472518,103.94868484522578
WATERBANK AT DAKOTA,34185.05970903718,32108.63655355406,1.306653001608563,103.88889426188601
TEMBUSU GRAND,35076.11950823776,32001.09522464202,1.305680245339758,103.8969008274754
THE PROMENADE@PELIKAT,34069.41976035665,37488.49026275425,1.355306493625425,103.8878562511385
AIRSTREAM,31418.174090451103,34395.233901771746,1.327332606985675,103.8640327441785
THE INFINITI,19323.118845248267,33485.56306363971,1.3191048278350834,103.75535233005078
MEADOWLODGE,21330.7265175963,35965.65801436175,1.34153441888285,103.7733911707745
OASIS @ ELIAS,40087.90239267728,39899.12568490418,1.3771055480698324,103.94193715019
CITYLIGHTS,31311.218797267542,32359.932382298382,1.3089260733893986,103.86307147405758
ONE TREE HILL RESIDENCE,27040.576550004997,31459.09551153145,1.3007793846876852,103.82469772504001
THE GARDENS AT BISHAN,27798.887176549066,38486.27357416103,1.3643307071027684,103.83151144265749
IMPERIAL HEIGHTS,34882.84533827285,32640.075718716747,1.3114589998363,103.89516431070851
TERRA HILL,23561.916656881487,29007.7158366466,1.2786096708548063,103.793440738824
PARVIS,24313.46220241208,32513.644301587345,1.310316146618298,103.8001932445012
BOATHOUSE RESIDENCES,35736.63724136571,39749.38613298769,1.3757528280334688,103.9028378619845
LAKEVILLE,16024.210232113714,36424.32430288964,1.34568078355306,103.72570881289676
VIBES @ EAST COAST,36726.64732215275,32422.24277568705,1.309488530368885,103.9117317027135
BARTLEY RIDGE,33314.67504331375,35871.19119829499,1.340680364986574,103.8810740972842
ONE HOLLAND VILLAGE RESIDENCES,23578.922498036627,32739.721893786904,1.3123606155089675,103.7935930168145
KOPAR AT NEWTON,28863.2481820395,32759.923760097452,1.3125436196892974,103.84107529107625
THE ATRIA AT MEYER,34212.97328553395,31005.89187141695,1.2966801661919,103.88914485919699
WATERFRONT GOLD,38620.86591972132,35603.957873994805,1.3382622023241266,103.928753253495
8 FARRER SUITES,30380.5743815135,33030.3937029541,1.3149895743528,103.85470923791
SKYSUITES@ANSON,29271.23870366255,28568.9634879641,1.274642034818355,103.8447411184325
CAIRNHILL NINE,28448.305271030848,31771.16992548945,1.303601687445475,103.83734680957
TANAH MERAH MANSIONS,40675.19799435091,33797.780209640056,1.3219270111791,103.9472118540225
CASABLANCA,22738.823325410358,45780.045618397846,1.430292471701063,103.78604199836214
COSY LODGE,33924.0686196266,33052.435393520645,1.315188432819945,103.8865493145575
EON SHENTON,29437.556733991,28485.4326003529,1.27388660363944,103.846235542245
DOUBLE BAY RESIDENCES,41694.45990588955,35873.929990747914,1.340702491041296,103.9563713717666
PALM ISLES,42562.66068859105,37619.08099853831,1.3564845678746928,103.9641734970327
HILLVIEW 128,19950.069655247975,37682.743825974874,1.357062782450995,103.760984691004
SELETAR PARK RESIDENCE,32045.057969699257,40892.872983908645,1.3860948519948881,103.8696665148334
ONE DRAYCOTT,27710.5168267791,32488.09157636575,1.310085276012205,103.8307174321875
CITYSCAPE @FARRER PARK,30022.306105854448,33351.98432559245,1.31789795187272,103.851490038326
STARLIGHT SUITES,28440.6004801057,30678.00452445635,1.293715484352865,103.8372775631365
THOMSON GRAND,27589.666156924697,38590.40547803844,1.365272436723874,103.82963144746842
THE VIRIDIAN,30036.866822101198,34248.4904640587,1.3260056350400249,103.85162093314949
RIVER PLACE,28844.1119303638,30243.75708388986,1.289788294807916,103.84090327458541
