street,lat,lon
ONAN ROAD,1.3105787444444443,103.90077491111111
TAI THONG CRESCENT,1.328929375,103.86959422499999
KIM TIAN ROAD,1.2823305,103.82812016
SOMME ROAD,1.3111821,103.8583303
HOUGANG STREET 92,1.37395356,103.87993466
KIM KEAT ROAD,1.3249356666666667,103.85347196666667
MARYMOUNT TERRACE,1.35066278,103.84038002
DAIRY FARM HEIGHTS,1.3665455,103.77164435
CEYLON LANE,1.31054575,103.8996846
JALAN ARUAN,1.31269235,103.84281005
ANG MO KIO STREET 66,1.39086825,103.8501851
CLARKE QUAY,1.2903486199999998,103.84507204865311
TOMLINSON ROAD,1.3035316000000001,103.82614310000001
CUSCADEN ROAD,1.305171,103.826458425
YISHUN AVENUE 1,1.42041279,103.84775582000002
JALAN EUNOS,1.3214590000000002,103.90523638333332
LORONG 6 GEYLANG,1.3100553799999999,103.87666973999998
LORONG 101 CHANGI,1.315685075,103.89973917500001
JALAN MATA AYER,1.426080375,103.82432675
JOO CHIAT PLACE,1.3136929333333334,103.90271963333333
BISHOPSGATE,1.2974402333333332,103.82297100000001
HANDY ROAD,1.2992494,103.846960325
KITCHENER LINK,1.311650475,103.857055575
TEOW HOCK AVENUE,1.3620777,103.8797835
RAMBAI ROAD,1.3107999000000001,103.90555495000001
LORONG 14 GEYLANG,1.3115006999999999,103.87914632000002
LORONG J TELOK KURAU,1.31393765,103.910068475
CANTONMENT ROAD,1.2766119,103.84068233
LEW LIAN VALE,1.3492394,103.8779099
LORONG 24 GEYLANG,1.3118543,103.8833621
KEPPEL BAY DRIVE,1.2652974,103.81548875000001
OCEAN DRIVE,1.2482137999999998,103.84201825
ELIZABETH DRIVE,1.3601142,103.7637919
BEDOK CENTRAL,1.3255429555555556,103.93376005555555
LORONG SARINA,1.3197824,103.90770972
YISHUN STREET 81,1.41404315,103.83617648750001
ZION ROAD,1.292033,103.83187776
MANGIS ROAD,1.3132367,103.9040066
SIN MING ROAD,1.3557924666666665,103.83737615
EWE BOON ROAD,1.3167054571428571,103.83121677142857
BEDOK SOUTH AVENUE 1,1.3183101625,103.9328934875
MIMOSA CRESCENT,1.3838807,103.86377180000001
CLEMENTI AVENUE 1,1.3090501749999999,103.76928565
LORONG 22 GEYLANG,1.31128858,103.88218898
LORONG 16 GEYLANG,1.3114663,103.879918
ROBIN ROAD,1.31651056,103.82744352
ANDERSON ROAD,1.311001925,103.8279709
KIM YAM ROAD,1.2940522875,103.8392997375
LORONG 27 GEYLANG,1.3149988750000001,103.88377344999999
TONG WATT ROAD,1.2930529333333334,103.84024193333335
KHIANG GUAN AVENUE,1.31750825,103.8428442
KENG LEE ROAD,1.3126021444444445,103.84536183333334
ANG MO KIO CENTRAL 3,1.3751639999999998,103.846879425
SUFFOLK ROAD,1.3144599,103.8451679
PEPYS ROAD,1.2784011999999998,103.79399012500001
KAY POH ROAD,1.296751375,103.82891055
RODYK STREET,1.2910743833333334,103.83815168333332
AKYAB ROAD,1.3236647,103.84859465
KIM SENG ROAD,1.2925933666666667,103.83332896666667
MISTRI ROAD,1.2737824,103.8459138
LORONG N TELOK KURAU,1.3102699,103.91383175
SING AVENUE,1.315236825,103.854367
SEA AVENUE,1.30615505,103.90665325
SIXTH AVENUE,1.32773187,103.79376748324043
TEMBELING ROAD,1.3102205125,103.9029902125
ORANGE GROVE ROAD,1.3095971625,103.82681947500001
LORONG 20 GEYLANG,1.3116682166666667,103.8813104
ESSEX ROAD,1.3171356,103.84495169999998
JALAN DATOH,1.32771408,103.84299894
JALAN KEMBANGAN,1.3232358999999998,103.91374703858492
CACTUS ROAD,1.38962265,103.85277827499999
SERAYA LANE,1.3069949,103.9002006
HOLLAND GROVE ROAD,1.3161841,103.78334115000001
DUKU ROAD,1.3094746800000001,103.90505198000001
BALMORAL PARK,1.31482505,103.8294622
PALM GROVE AVENUE,1.3594156,103.8774727
BISHAN STREET 25,1.3595995666666667,103.84513623333333
HEMMANT ROAD,1.3117387,103.8909379
JALAN SULTAN,1.30320547,103.86129194
RACE COURSE ROAD,1.31075962,103.85256758999999
JALAN NOVENA BARAT,1.3230450999999999,103.842263
TELOK BLANGAH ROAD,1.267740222222222,103.81710703333334
TAMARIND ROAD,1.3889939300000003,103.86046470000001
FOURTH AVENUE,1.3293440666666665,103.79717326666666
BOON TECK ROAD,1.3267912333333334,103.85002836666666
CORONATION ROAD WEST,1.3198842333333332,103.79643963333332
FLANDERS SQUARE,1.3124924,103.8576927
ROSE LANE,1.3102575,103.8938148
JIAK KIM STREET,1.29090355,103.83486160000001
INSTITUTION HILL,1.2950780499999999,103.83968935
POH HUAT ROAD WEST,1.3676901,103.87646325
QUEEN'S ROAD,1.3208845666666669,103.80956061666666
ANG MO KIO AVENUE 8,1.36689374,103.85053334
JALAN BUKIT HO SWEE,1.28747594,103.82930764
LORONG 28 GEYLANG,1.3123127,103.885624725
WOODLANDS ROAD,1.4095719555555555,103.75848878888888
BUCKLEY ROAD,1.31806508,103.84061928000001
UPPER CHANGI ROAD,1.3332697777777778,103.94897156666667
WEST COAST WAY,1.3156165,103.7557612
JURONG EAST AVENUE 1,1.34334613,103.73690056000001
JALAN DUSUN,1.32789745,103.8439273
STILL ROAD,1.31285363,103.90689360000002
STAMFORD ROAD,1.2943971444444444,103.8513025111111
MOUNT SINAI RISE,1.3160476,103.77793377777776
SEMBAWANG DRIVE,1.45520816,103.81618562000001
CAIRNHILL CIRCLE,1.3065531,103.8384307
